source_id,label,data_item,isBasedOnUrl
1,br;ac:tse:candidatos:1994,consulta_cand_1994_AC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
2,br;al:tse:candidatos:1994,consulta_cand_1994_AL.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
3,br;am:tse:candidatos:1994,consulta_cand_1994_AM.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
4,br;ap:tse:candidatos:1994,consulta_cand_1994_AP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
5,br;ba:tse:candidatos:1994,consulta_cand_1994_BA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
6,br;br:tse:candidatos:1994,consulta_cand_1994_BR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
7,br;go:tse:candidatos:1994,consulta_cand_1994_GO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
8,br;ma:tse:candidatos:1994,consulta_cand_1994_MA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
9,br;ms:tse:candidatos:1994,consulta_cand_1994_MS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
10,br;pi:tse:candidatos:1994,consulta_cand_1994_PI.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
11,br;rr:tse:candidatos:1994,consulta_cand_1994_RR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
12,br;rs:tse:candidatos:1994,consulta_cand_1994_RS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
13,br;sc:tse:candidatos:1994,consulta_cand_1994_SC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
14,br;se:tse:candidatos:1994,consulta_cand_1994_SE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
